word,diff,rt,st,avg_at_tick_2,avg_at_tick_3,avg_at_tick_4,avg_at_tick_5,avg_at_tick_6,avg_at_tick_7,avg_at_tick_8,avg_at_tick_9,avg_at_tick_10,avg_at_tick_11,avg_at_tick_12,avg_at_tick_13,avg_at_tick_14,avg_at_tick_15,avg_at_tick_16,avg_at_tick_17,avg_at_tick_18,avg_at_tick_19,avg_at_tick_20
47_SAS,0.0,11,14,0.06606350788,0.0368957014,0.031719909660000004,0.03502636121,0.04335119379,0.053771547158000005,0.060090586451799995,0.06575125000019999,0.06326301152531001,0.04588542726427,0.023350355932610003,0.010008392478935,0.004432341824714998,0.0021948296548720005,0.0012243292020900022,0.0007738406607299959,0.0006212113871890059,0.000558921800480002,0.0005362148938319988
48_MUB,0.0,11,14,0.06606350788,0.03139636942,0.02323013927,0.023738002759999998,0.028055483699999998,0.03548674189,0.03997993308799999,0.036283120817,0.027084376005,0.019449353976000002,0.014822224212399999,0.011137949204000004,0.007978125751599998,0.005524320303499999,0.0038154958580900017,0.002681314751879997,0.0019285667843000024,0.0014240028071099968,0.0010820412979800033
49_LAS,0.0,12,15,0.06606350788,0.03159552359,0.026603106709999994,0.02931851386,0.03570276672,0.04199991045800001,0.040811623586000004,0.032749356339300005,0.025123310703500004,0.02174959507973,0.02049162828272,0.016869500442515003,0.011961961305680995,0.0077348982426869994,0.00484193072141,0.0030465919016250047,0.001976305447389998,0.0013264419150599987,0.000922757949290001
50_NUL,0.0,12,15,0.06606350788,0.02430782914,0.020259811419999996,0.025328076200000004,0.036093228054999996,0.049905122597,0.05905772140799999,0.056308517488999996,0.0424527579804,0.03404780781530001,0.027480337463080002,0.020604034660619996,0.014077913422559995,0.009086851825815001,0.005821694982372001,0.003807115591195996,0.002569297702814003,0.0017905003833459982,0.0012840351921520011
51_LUM,0.0,10,12,0.06606350788,0.032677900499999996,0.02238207294,0.020949524489999996,0.024362799300000005,0.027523120961999995,0.02891156600800001,0.026549795590999993,0.020131015130999998,0.012982248073500003,0.007769041416100001,0.004660573205699997,0.0029672001478100022,0.0020604618742799995,0.0015471769429999977,0.0012529301171600013,0.0010751436627399998,0.0009578156499000001,0.0008753940820999988
52_BED,0.0,10,12,0.06606350788,0.03385685343,0.025953011890000002,0.030444196279999995,0.042206304051,0.06026826783400001,0.07241746813500001,0.06148713055119998,0.0372758279153,0.0191385554343,0.00934232610872,0.0045427146888,0.002397604506419997,0.001391228507729004,0.0008766129109109986,0.0005898117811799965,0.0004187336514860031,0.00030903316020599816,0.00023419397669200283
53_LAB,0.0,14,17,0.06606350788,0.02721311089,0.015377386019999996,0.01491795023,0.01711889109,0.020358549039999996,0.025755786050000003,0.0332702112,0.04334424786999999,0.054650047306,0.06402612797599999,0.0650175595198,0.0513815857212,0.03065443287365001,0.015207839782589999,0.007343209015111,0.0037817202290749974,0.002120068231833005,0.0012956855444269965
54_RIB,0.0,10,12,0.06606350788,0.03247347155,0.024282643660000002,0.022600015660000007,0.02473152951,0.02958404411,0.030778602569999994,0.026829709438,0.020250920573,0.013670314379099999,0.008618667887999998,0.005316127524400003,0.0033111985954,0.0021562775464299983,0.0014709278488999988,0.001051882187140002,0.0007803434331799991,0.0006143038089700028,0.0004966925658699953
55_SET,0.0,8,10,0.06606350788,0.03270907896,0.023297168200000003,0.018869111660000003,0.01669506746,0.014741022104,0.012485710308,0.010005463798,0.007647171026999998,0.0056417621889999995,0.0040761628333000005,0.002909103434499998,0.002062089160400001,0.0014915479614999994,0.0011130996798000017,0.0008438446650999992,0.0006498782266799999,0.00051948340207,0.0004399415203399992
56_KUD,0.0,11,14,0.06606350788,0.0389970849,0.030848816119999997,0.030811492078,0.038305941297000004,0.04864569972580001,0.054300824080370014,0.05529969813332001,0.052741377073,0.03996668348026199,0.022292422285536996,0.010576725156230999,0.004968645876616,0.002487827307634998,0.0013533568158500034,0.0007959196279820013,0.0005000229588799998,0.000331570341086999,0.0002297768082480003
