word,dominance,category,diff_thresh0.5,rt_thresh0.5,st_thresh0.5,acc_thresh0.5,avg_out_diff_tick_1,avg_out_diff_tick_2,avg_out_diff_tick_3,avg_out_diff_tick_4,avg_out_diff_tick_5,avg_out_diff_tick_6,avg_out_diff_tick_7,avg_out_diff_tick_8,avg_out_diff_tick_9,avg_out_diff_tick_10,avg_out_diff_tick_11,avg_out_diff_tick_12,avg_out_diff_tick_13,avg_out_diff_tick_14,avg_out_diff_tick_15,avg_out_diff_tick_16,avg_out_diff_tick_17,avg_out_diff_tick_18,avg_out_diff_tick_19,avg_out_diff_tick_20,avg_out_tick_1,avg_out_tick_2,avg_out_tick_3,avg_out_tick_4,avg_out_tick_5,avg_out_tick_6,avg_out_tick_7,avg_out_tick_8,avg_out_tick_9,avg_out_tick_10,avg_out_tick_11,avg_out_tick_12,avg_out_tick_13,avg_out_tick_14,avg_out_tick_15,avg_out_tick_16,avg_out_tick_17,avg_out_tick_18,avg_out_tick_19,avg_out_tick_20
DIM,high,2,0.0,11,15,1,,0.07371827291,0.037950003950000005,0.03253181893,0.03181841393,0.029319334809999997,0.02662586490000001,0.024764834941,0.023398586760999998,0.022267340137399998,0.020254257695400003,0.0173927192693,0.014222962618700001,0.01115690981049,0.008463556773030003,0.00629156301593,0.004642302927439998,0.00344468063073,0.0025862028736699993,0.001978378486020001,0.3012340272,0.23505659229000003,0.21469543834,0.21243481066999997,0.21972408728,0.22997035375,0.24081574159000002,0.25059841272899996,0.257449619768,0.2607065862306,0.26110558293520003,0.2598919928659,0.2580902296472,0.25629706443671,0.25476753866368,0.25356366284775,0.25266366672031004,0.25201905848958,0.25157861041591,0.25129685892989
NOK,high,4,0.0,13,15,1,,0.07371827291,0.034325064550000006,0.031351653836,0.040463462294000004,0.050939179386999996,0.0551664628753,0.04917611206930001,0.03817683711677,0.02910335169982,0.022807092570613002,0.018404304583686998,0.014887111979765,0.011662884767083001,0.008704048233880005,0.006187494038640001,0.004340072924502996,0.0031193139439739987,0.0023316479964080004,0.0018699508610549973,0.3012340272,0.23505659229000003,0.21520550573999994,0.218247659704,0.23956544792999998,0.276873112529,0.3225734143077,0.36469837681840006,0.39677889386163,0.41988987266181,0.43700531063119696,0.44987244688750994,0.45925135504774495,0.465605025780662,0.46935979722678206,0.47110998500814205,0.4715895220436391,0.471387361179665,0.470840655723257,0.47011618064220195
NOR,low,7,0.0,13,15,1,,0.07371827291,0.037314855507,0.04959325619899999,0.055197267327999996,0.052656698116999995,0.046278230379999986,0.040333292562999994,0.035759033956000004,0.032127672616000004,0.028164627237299997,0.023202508786100005,0.018112823199899996,0.013521154403730007,0.009643338595839998,0.00670366095733,0.004641059957309997,0.003395275805805001,0.0026605375466730074,0.002247618580623995,0.3012340272,0.23505659229000003,0.227360882783,0.251584820584,0.288043577156,0.32562925071900006,0.358752168925,0.387602178926,0.41259430593999996,0.433142059926,0.4486904710966999,0.45955716272060004,0.4672706055881,0.47310488117217,0.47753660153192995,0.4807857607246001,0.48320267946129003,0.485148712441485,0.4868600776768121,0.48846087005418803
PID,high,0,0.0,10,14,1,,0.07371827291,0.03942010063,0.0302644341,0.027977611272000002,0.025866359696,0.023458206834000003,0.021207618204999997,0.019562137408,0.0183095503259,0.016692231685400002,0.014391943679899998,0.011742372213400003,0.0092373332847,0.007077765633399998,0.0053310888845000005,0.00400480237859,0.00301884158934,0.0023220739728900004,0.0018130230276299987,0.3012340272,0.23505659229000003,0.20694075765999997,0.19322640256,0.183300512688,0.174796439192,0.16735954475800002,0.16070637115300002,0.15445711972499998,0.1480964552591,0.1412438424077,0.13414609829779997,0.1275095181324,0.12189991179370001,0.11749779999829998,0.1142023149738,0.11179928163521,0.11006923596386999,0.10883101786498,0.10794860282935001
LED,high,2,0.0,12,14,1,,0.07371827291,0.033482780809999994,0.02728797575,0.029170789867,0.032899680276,0.035147365976,0.03402618098599999,0.030061149615000008,0.025494041064,0.020579368911999997,0.015882090757400002,0.0119257023888,0.008784283344599998,0.006484464297300003,0.005010362986620003,0.004145556542619996,0.003680635488960001,0.0034457486131500028,0.0033620437137499943,0.3012340272,0.23505659229000003,0.21194525148,0.20644153838999998,0.21047365498300002,0.22065577608699996,0.23329903977100003,0.24453389668499995,0.25259393063,0.25766466236599994,0.260277596594,0.26114539388060004,0.2610701019898,0.2607584115352,0.2607001208959,0.26109833295128004,0.26195206977466,0.2631932321077,0.26475914100855,0.2666072376628
TED,low,3,0.0,13,16,1,,0.07371827291,0.03993127322,0.031766715705000004,0.031039970301999995,0.030774702957999996,0.030205524713000004,0.029810417444000002,0.029006894716,0.027620838646000002,0.0250956524683,0.021665475020699994,0.017771816292300003,0.013783843622600007,0.010080288257,0.007023735616369999,0.004797898473569997,0.003323781889290001,0.0023895309469000024,0.0017977923164599991,0.3012340272,0.23505659229000003,0.20443397906999997,0.19202092096499995,0.190368789383,0.19573742742500005,0.20524119299200003,0.21655944810799999,0.22800541097200003,0.238313848286,0.2465265079577,0.25224991780699996,0.25577495184869997,0.25777295125809996,0.25888267386709995,0.25953284154872996,0.25997166680116,0.26032543837507,0.26064625244697004,0.26095016827431
MUS,high,5,0.0,12,15,1,,0.07371827291,0.04478242496800001,0.04114569382940001,0.043155729255900006,0.04557743584151,0.044113375517850016,0.038794935604435,0.03362270344011101,0.029534799514971,0.025401620096299996,0.02086859262783,0.016137841455963996,0.011851049685125998,0.008444167950442007,0.006018080131569995,0.004378548541397997,0.003328585457737999,0.0026828529428910043,0.0022883554828949976,0.3012340272,0.23505659229000003,0.21527996112200004,0.22905271149260004,0.25924148623669996,0.29639739039519003,0.33407759821734007,0.36768410273290497,0.3960768943127939,0.419870651377823,0.43947819064152294,0.4549071788936931,0.466336026477729,0.47438595165260294,0.4798905646738231,0.4836307875604129,0.4862198721097071,0.488087713022017,0.48951363218534993,0.49067083676048706
LAL,low,3,0.0,11,15,1,,0.07371827291,0.039919142930000005,0.030322404209,0.029556029109999996,0.029992167856999995,0.02986806645199999,0.029138833115000005,0.0279879427561,0.026064708621300007,0.023058204623199997,0.0191252009729,0.014798999332229999,0.010722019508900003,0.0075079323217799995,0.005247406781864997,0.0037257908745300023,0.0027024839511719965,0.0020317245457660005,0.001580431631311001,0.3012340272,0.23505659229000003,0.20559254336,0.19007085975100002,0.18482687844100001,0.18672630438400004,0.19267447113200004,0.20098607621700001,0.2105015862609,0.2201933428396,0.22904529961640002,0.2362577976435,0.24137488953126998,0.24447875674437,0.24612093573199,0.24688857235212494,0.247183510007595,0.24723762931842302,0.24717593652865705,0.24706353013734603
SAR,high,6,0.0,14,16,1,,0.07371827291,0.041191668998999995,0.03183910814799999,0.034168623316000006,0.04082801012599999,0.047330900315,0.04935310502100001,0.046845602486999996,0.0412313702613,0.034266905908500005,0.02823778428373,0.023173686761220003,0.018404509973040002,0.013857439603269996,0.009858883566649995,0.006887486062470004,0.004981840547021,0.0038304107482950043,0.0031044404946409952,0.3012340272,0.23505659229000003,0.205920055291,0.198740218143,0.209877464299,0.23614653414499998,0.27402998962,0.31697235025900006,0.35765823385199985,0.39192346973069997,0.4190833292222,0.44036917639847006,0.45676998085724996,0.46875117662420995,0.47668393382093993,0.48126995845429,0.48363733259181996,0.484802124044799,0.485359483896504,0.485594644801863
DUS,high,1,0.0,14,15,1,,0.07371827291,0.042445446756,0.035504898436,0.030831467321999997,0.025283295631000003,0.021511807714199995,0.018939138677900005,0.017169051845059995,0.01605379571728,0.015523283661460004,0.015103682288314001,0.014178362586487,0.012344014827498,0.009903077451212002,0.007628257205672001,0.005941931991489996,0.004899529159533001,0.004378733436219004,0.004265986621413003,0.3012340272,0.23505659229000003,0.20979392353399995,0.205839420698,0.205808018816,0.204104290425,0.20109664291279997,0.19841362560689998,0.19679254043784003,0.19628645699656,0.19677888710709998,0.198168886100786,0.20020541184229898,0.202330371882801,0.20403647517158902,0.20527495404591697,0.206326365010627,0.20751363840929402,0.209087206680675,0.21122871155566203
