epoch,seed,hidden_units,error,linearity
362,0,100,0.006733636,0.9875391
363,0,100,0.006390383,0.9876246
364,0,100,0.006065209,0.9876891
365,0,100,0.005756796,0.9878064
366,0,100,0.005464727,0.9880142
367,0,100,0.00518787,0.9882711
368,0,100,0.00492555,0.9884862
369,0,100,0.004676748,0.988663
370,0,100,0.004441036,0.9888275
371,0,100,0.004217729,0.9889914
372,0,100,0.004005827,0.9891469
373,0,100,0.003804757,0.9892184
374,0,100,0.003613907,0.9893296
375,0,100,0.00343254,0.9894245
376,0,100,0.003260463,0.9894991
377,0,100,0.003096814,0.9895571
378,0,100,0.002941415,0.9896479
379,0,100,0.002793581,0.9897705
380,0,100,0.002653432,0.9899241
381,0,100,0.002520002,0.9900532
382,0,100,0.002393411,0.9901754
383,0,100,0.002273083,0.990294
384,0,100,0.002158592,0.9903555
385,0,100,0.002049905,0.9903982
386,0,100,0.001946652,0.9904101
387,0,100,0.001848547,0.9904364
388,0,100,0.001755348,0.9904389
389,0,100,0.001666747,0.9904703
390,0,100,0.001582656,0.9905199
391,0,100,0.001502692,0.9905523
392,0,100,0.001426629,0.9905734
393,0,100,0.001354314,0.9906209
394,0,100,0.001285791,0.9906636
395,0,100,0.001220535,0.9906937
396,0,100,0.001158419,0.9907152
397,0,100,0.001099452,0.9907452
398,0,100,0.001043319,0.9908068
399,0,100,0.000989891,0.9908577
400,0,100,0.0009391689,0.9908944
401,0,100,0.0008909232,0.9909324
402,0,100,0.0008450892,0.9909077
403,0,100,0.0008014472,0.9907773
404,0,100,0.0007601261,0.9906585
405,0,100,0.0007206633,0.9906075
406,0,100,0.0006832493,0.9906703
407,0,100,0.0006476623,0.9907653
408,0,100,0.0006139894,0.9908414
409,0,100,0.0005818732,0.9908993
410,0,100,0.0005515321,0.9909546
411,0,100,0.0005224426,0.9909985
412,0,100,0.0004947904,0.9910415
413,0,100,0.0004687397,0.9910771
414,0,100,0.0004438043,0.9911072
415,0,100,0.0004202297,0.9911565
416,0,100,0.0003978874,0.9912192
417,0,100,0.0003767019,0.9912564
418,0,100,0.0003564017,0.9913125
419,0,100,0.000337356,0.9913841
420,0,100,0.0003192415,0.9914286
421,0,100,0.0003019604,0.991509
422,0,100,0.0002856856,0.991552
423,0,100,0.0002702066,0.9915966
424,0,100,0.0002555004,0.9916435
425,0,100,0.0002416631,0.9917215
